date,city,house_price,attached_price,earnings_state,cpi,house_price_real,attached_price_real,earnings_state_real,annual_earnings_real,annual_earnings_nominal,pti_house_real,pti_attached_real,pti_house_nominal,pti_attached_nominal
2011-03-01,melbourne,485000.0,445000.0,1298.0,68.72,708300.0,649890.0,1895.62,98572.23999999999,67496.0,7.185593022944391,6.593032683441099,7.185610999170321,6.592983287898542
2011-06-01,melbourne,502500.0,450000.0,1307.0,69.19,728880.0,652720.0,1895.8,98581.59999999999,67964.0,7.393671841398396,6.621113879263474,7.393620151845094,6.621152374786652
2011-09-01,melbourne,487000.0,437500.0,1325.0,69.62,702030.0,630670.0,1910.04,99322.08,68900.0,7.068216855708217,6.349746199435211,7.068214804063861,6.34978229317852
2011-12-01,melbourne,495000.0,432500.0,1343.0,69.67,713050.0,623020.0,1934.6,100599.2,69836.0,7.088028533030084,6.193090998735577,7.088034824445844,6.193080932470359
2012-03-01,melbourne,478000.0,430000.0,1346.0,69.68,688460.0,619330.0,1938.64,100809.28,69992.0,6.829331585346111,6.143581225855398,6.829351925934392,6.1435592639158765
2012-06-01,melbourne,485000.0,430000.0,1350.0,70.01,695250.0,616410.0,1935.24,100632.48,70200.0,6.908803201511083,6.125358333611573,6.908831908831909,6.1253561253561255
2012-09-01,melbourne,480000.0,425000.0,1362.0,70.83,680120.0,602190.0,1929.84,100351.68,70824.0,6.777365361496689,6.000796399223212,6.777363605557438,6.000790692420648
2012-12-01,melbourne,508000.0,440000.0,1374.0,71.14,716660.0,620730.0,1938.36,100794.72,71448.0,7.110094655751809,6.158358294958307,7.110066062031128,6.158324935617512
2013-03-01,melbourne,486000.0,435000.0,1376.0,71.43,682840.0,611180.0,1933.3,100531.59999999999,71552.0,6.79229217479877,6.07948147647108,6.792262969588551,6.079494633273703
2013-06-01,melbourne,500000.0,442000.0,1379.0,71.54,701430.0,620060.0,1934.53,100595.56,71708.0,6.972772953398739,6.1638903347225265,6.972722708763318,6.163886874546773
2013-09-01,melbourne,520000.0,445000.0,1406.0,72.51,719720.0,615920.0,1946.02,101193.04,73112.0,7.112346857056573,6.086584610957434,7.112375533428165,6.086552139183718
